bvp,time,sensor,phase,eda,temp,PPG GREEN
7.67,1549375735.765625,empatica_bvp,baseline,,,
12.64,1549375735.78125,empatica_bvp,baseline,,,
19.72,1549375735.796875,empatica_bvp,baseline,,,
27.29,1549375735.8125,empatica_bvp,baseline,,,
34.23,1549375735.828125,empatica_bvp,baseline,,,
39.91,1549375735.84375,empatica_bvp,baseline,,,
44.16,1549375735.859375,empatica_bvp,baseline,,,
47.12,1549375735.875,empatica_bvp,baseline,,,
49.18,1549375735.890625,empatica_bvp,baseline,,,
50.95,1549375735.90625,empatica_bvp,baseline,,,
53.12,1549375735.921875,empatica_bvp,baseline,,,
56.25,1549375735.9375,empatica_bvp,baseline,,,
60.57,1549375735.953125,empatica_bvp,baseline,,,
65.84,1549375735.96875,empatica_bvp,baseline,,,
71.46,1549375735.984375,empatica_bvp,baseline,,,
76.72,1549375736.0,empatica_bvp,baseline,,,
81.1,1549375736.015625,empatica_bvp,baseline,,,
84.46,1549375736.03125,empatica_bvp,baseline,,,
87.11,1549375736.046875,empatica_bvp,baseline,,,
89.72,1549375736.0625,empatica_bvp,baseline,,,
93.16,1549375736.078125,empatica_bvp,baseline,,,
98.25,1549375736.09375,empatica_bvp,baseline,,,
105.52,1549375736.109375,empatica_bvp,baseline,,,
114.97,1549375736.125,empatica_bvp,baseline,,,
125.9,1549375736.140625,empatica_bvp,baseline,,,
136.81,1549375736.15625,empatica_bvp,baseline,,,
145.61,1549375736.171875,empatica_bvp,baseline,,,
150.1,1549375736.1875,empatica_bvp,baseline,,,
148.57,1549375736.203125,empatica_bvp,baseline,,,
140.44,1549375736.21875,empatica_bvp,baseline,,,
126.51,1549375736.234375,empatica_bvp,baseline,,,
108.74,1549375736.25,empatica_bvp,baseline,,,
89.53,1549375736.265625,empatica_bvp,baseline,,,
70.88,1549375736.28125,empatica_bvp,baseline,,,
53.76,1549375736.296875,empatica_bvp,baseline,,,
38.1,1549375736.3125,empatica_bvp,baseline,,,
23.17,1549375736.328125,empatica_bvp,baseline,,,
